clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,technique,trajectory_shape,dynamic_label,technique_keyswitch,cc1_mean,cc1_low,cc1_high,trajectory_steps,note_onset_s,note_seconds,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,midi_path,audio_path,analysis_tier
temporal_A4-rep03__t-sustain__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,ramp_down,ramp_down,36,64,32,96,48,0.75,6.0,3451152394622684878,20260826,temporal_A4-sustain-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-sustain__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-sustain__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-sustain__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,ramp_down,ramp_down,36,64,32,96,48,0.75,6.0,5547160598690432299,20260826,temporal_A4-sustain-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-sustain__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-sustain__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-sustain__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,step_up,step_up,36,64,32,96,48,0.75,6.0,1350817923100137775,20260826,temporal_A4-sustain-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-sustain__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-sustain__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-sustain__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,step_up,step_up,36,64,32,96,48,0.75,6.0,4459940871918123187,20260826,temporal_A4-sustain-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-sustain__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-sustain__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-sustain__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,step_up,step_up,36,64,32,96,48,0.75,6.0,3451152394622684878,20260826,temporal_A4-sustain-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-sustain__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-sustain__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-sustain__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,step_up,step_up,36,64,32,96,48,0.75,6.0,5547160598690432299,20260826,temporal_A4-sustain-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-sustain__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-sustain__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-sustain__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,step_down,step_down,36,64,32,96,48,0.75,6.0,1350817923100137775,20260826,temporal_A4-sustain-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-sustain__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-sustain__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-sustain__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,step_down,step_down,36,64,32,96,48,0.75,6.0,4459940871918123187,20260826,temporal_A4-sustain-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-sustain__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-sustain__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-sustain__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,step_down,step_down,36,64,32,96,48,0.75,6.0,3451152394622684878,20260826,temporal_A4-sustain-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-sustain__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-sustain__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-sustain__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,step_down,step_down,36,64,32,96,48,0.75,6.0,5547160598690432299,20260826,temporal_A4-sustain-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-sustain__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-sustain__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-sustain__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,oscillate,oscillate,36,64,32,96,48,0.75,6.0,1350817923100137775,20260826,temporal_A4-sustain-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-sustain__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-sustain__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-sustain__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,oscillate,oscillate,36,64,32,96,48,0.75,6.0,4459940871918123187,20260826,temporal_A4-sustain-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-sustain__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-sustain__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-sustain__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,oscillate,oscillate,36,64,32,96,48,0.75,6.0,3451152394622684878,20260826,temporal_A4-sustain-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-sustain__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-sustain__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-sustain__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,oscillate,oscillate,36,64,32,96,48,0.75,6.0,5547160598690432299,20260826,temporal_A4-sustain-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-sustain__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-sustain__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-legato_slur__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,constant,constant,49,64,32,96,48,0.75,6.0,7536325061420492550,20260826,temporal_A4-legato_slur-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-legato_slur__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-legato_slur__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-legato_slur__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,constant,constant,49,64,32,96,48,0.75,6.0,1931122422689405488,20260826,temporal_A4-legato_slur-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-legato_slur__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-legato_slur__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-legato_slur__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,constant,constant,49,64,32,96,48,0.75,6.0,1247451094318084132,20260826,temporal_A4-legato_slur-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-legato_slur__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-legato_slur__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-legato_slur__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,constant,constant,49,64,32,96,48,0.75,6.0,8998108601431523812,20260826,temporal_A4-legato_slur-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-legato_slur__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-legato_slur__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-legato_slur__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,ramp_up,ramp_up,49,64,32,96,48,0.75,6.0,7536325061420492550,20260826,temporal_A4-legato_slur-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-legato_slur__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-legato_slur__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-legato_slur__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,ramp_up,ramp_up,49,64,32,96,48,0.75,6.0,1931122422689405488,20260826,temporal_A4-legato_slur-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-legato_slur__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-legato_slur__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-legato_slur__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,ramp_up,ramp_up,49,64,32,96,48,0.75,6.0,1247451094318084132,20260826,temporal_A4-legato_slur-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-legato_slur__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-legato_slur__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-legato_slur__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,ramp_up,ramp_up,49,64,32,96,48,0.75,6.0,8998108601431523812,20260826,temporal_A4-legato_slur-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-legato_slur__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-legato_slur__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-legato_slur__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,ramp_down,ramp_down,49,64,32,96,48,0.75,6.0,7536325061420492550,20260826,temporal_A4-legato_slur-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-legato_slur__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-legato_slur__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-legato_slur__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,ramp_down,ramp_down,49,64,32,96,48,0.75,6.0,1931122422689405488,20260826,temporal_A4-legato_slur-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-legato_slur__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-legato_slur__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-legato_slur__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,ramp_down,ramp_down,49,64,32,96,48,0.75,6.0,1247451094318084132,20260826,temporal_A4-legato_slur-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-legato_slur__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-legato_slur__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-legato_slur__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,ramp_down,ramp_down,49,64,32,96,48,0.75,6.0,8998108601431523812,20260826,temporal_A4-legato_slur-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-legato_slur__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-legato_slur__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-legato_slur__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,step_up,step_up,49,64,32,96,48,0.75,6.0,7536325061420492550,20260826,temporal_A4-legato_slur-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-legato_slur__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-legato_slur__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-legato_slur__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,step_up,step_up,49,64,32,96,48,0.75,6.0,1931122422689405488,20260826,temporal_A4-legato_slur-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-legato_slur__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-legato_slur__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-legato_slur__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,step_up,step_up,49,64,32,96,48,0.75,6.0,1247451094318084132,20260826,temporal_A4-legato_slur-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-legato_slur__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-legato_slur__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-legato_slur__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,step_up,step_up,49,64,32,96,48,0.75,6.0,8998108601431523812,20260826,temporal_A4-legato_slur-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-legato_slur__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-legato_slur__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-legato_slur__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,step_down,step_down,49,64,32,96,48,0.75,6.0,7536325061420492550,20260826,temporal_A4-legato_slur-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-legato_slur__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-legato_slur__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-legato_slur__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,step_down,step_down,49,64,32,96,48,0.75,6.0,1931122422689405488,20260826,temporal_A4-legato_slur-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-legato_slur__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-legato_slur__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-legato_slur__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,step_down,step_down,49,64,32,96,48,0.75,6.0,1247451094318084132,20260826,temporal_A4-legato_slur-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-legato_slur__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-legato_slur__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-legato_slur__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,step_down,step_down,49,64,32,96,48,0.75,6.0,8998108601431523812,20260826,temporal_A4-legato_slur-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-legato_slur__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-legato_slur__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-legato_slur__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,oscillate,oscillate,49,64,32,96,48,0.75,6.0,7536325061420492550,20260826,temporal_A4-legato_slur-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-legato_slur__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-legato_slur__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-legato_slur__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,oscillate,oscillate,49,64,32,96,48,0.75,6.0,1931122422689405488,20260826,temporal_A4-legato_slur-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-legato_slur__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-legato_slur__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-legato_slur__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,oscillate,oscillate,49,64,32,96,48,0.75,6.0,1247451094318084132,20260826,temporal_A4-legato_slur-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-legato_slur__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-legato_slur__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-legato_slur__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,legato_slur,oscillate,oscillate,49,64,32,96,48,0.75,6.0,8998108601431523812,20260826,temporal_A4-legato_slur-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-legato_slur__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-legato_slur__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-tremolo__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,constant,constant,37,64,32,96,48,0.75,6.0,8220401862667147552,20260826,temporal_A4-tremolo-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-tremolo__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-tremolo__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-tremolo__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,constant,constant,37,64,32,96,48,0.75,6.0,4299147415157454001,20260826,temporal_A4-tremolo-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-tremolo__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-tremolo__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-tremolo__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,constant,constant,37,64,32,96,48,0.75,6.0,4566299434845604760,20260826,temporal_A4-tremolo-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-tremolo__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-tremolo__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-tremolo__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,constant,constant,37,64,32,96,48,0.75,6.0,1127068673306939330,20260826,temporal_A4-tremolo-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-tremolo__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-tremolo__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-tremolo__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,ramp_up,ramp_up,37,64,32,96,48,0.75,6.0,8220401862667147552,20260826,temporal_A4-tremolo-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-tremolo__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-tremolo__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-tremolo__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,ramp_up,ramp_up,37,64,32,96,48,0.75,6.0,4299147415157454001,20260826,temporal_A4-tremolo-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-tremolo__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-tremolo__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-tremolo__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,ramp_up,ramp_up,37,64,32,96,48,0.75,6.0,4566299434845604760,20260826,temporal_A4-tremolo-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-tremolo__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-tremolo__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-tremolo__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,ramp_up,ramp_up,37,64,32,96,48,0.75,6.0,1127068673306939330,20260826,temporal_A4-tremolo-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-tremolo__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-tremolo__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
