clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,timing_variant,technique,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,status
long_low_short-rep03__t-sustain__d-cc024__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc024,24,24,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep03__t-sustain__d-cc024__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-cc024__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep04__t-sustain__d-cc024__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc024,24,24,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep04__t-sustain__d-cc024__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-cc024__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep05__t-sustain__d-cc024__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc024,24,24,,3792011369038416571,20260826,long_low_short-rep05,5,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep05__t-sustain__d-cc024__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep05__t-sustain__d-cc024__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep06__t-sustain__d-cc024__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc024,24,24,,8000593431006145158,20260826,long_low_short-rep06,6,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep06__t-sustain__d-cc024__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep06__t-sustain__d-cc024__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep07__t-sustain__d-cc024__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc024,24,24,,3027752896819503932,20260826,long_low_short-rep07,7,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep07__t-sustain__d-cc024__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep07__t-sustain__d-cc024__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep08__t-sustain__d-cc024__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc024,24,24,,5380287683912322282,20260826,long_low_short-rep08,8,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep08__t-sustain__d-cc024__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep08__t-sustain__d-cc024__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep01__t-sustain__d-cc040__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc040,40,40,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep01__t-sustain__d-cc040__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-sustain__d-cc040__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep02__t-sustain__d-cc040__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc040,40,40,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep02__t-sustain__d-cc040__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-sustain__d-cc040__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep03__t-sustain__d-cc040__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc040,40,40,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep03__t-sustain__d-cc040__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-cc040__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep04__t-sustain__d-cc040__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc040,40,40,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep04__t-sustain__d-cc040__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-cc040__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep05__t-sustain__d-cc040__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc040,40,40,,3792011369038416571,20260826,long_low_short-rep05,5,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep05__t-sustain__d-cc040__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep05__t-sustain__d-cc040__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep06__t-sustain__d-cc040__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc040,40,40,,8000593431006145158,20260826,long_low_short-rep06,6,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep06__t-sustain__d-cc040__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep06__t-sustain__d-cc040__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep07__t-sustain__d-cc040__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc040,40,40,,3027752896819503932,20260826,long_low_short-rep07,7,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep07__t-sustain__d-cc040__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep07__t-sustain__d-cc040__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep08__t-sustain__d-cc040__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc040,40,40,,5380287683912322282,20260826,long_low_short-rep08,8,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep08__t-sustain__d-cc040__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep08__t-sustain__d-cc040__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep01__t-sustain__d-cc056__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc056,56,56,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep01__t-sustain__d-cc056__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-sustain__d-cc056__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep02__t-sustain__d-cc056__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc056,56,56,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep02__t-sustain__d-cc056__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-sustain__d-cc056__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep03__t-sustain__d-cc056__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc056,56,56,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep03__t-sustain__d-cc056__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-cc056__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep04__t-sustain__d-cc056__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc056,56,56,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep04__t-sustain__d-cc056__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-cc056__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep05__t-sustain__d-cc056__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc056,56,56,,3792011369038416571,20260826,long_low_short-rep05,5,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep05__t-sustain__d-cc056__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep05__t-sustain__d-cc056__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep06__t-sustain__d-cc056__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc056,56,56,,8000593431006145158,20260826,long_low_short-rep06,6,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep06__t-sustain__d-cc056__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep06__t-sustain__d-cc056__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep07__t-sustain__d-cc056__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc056,56,56,,3027752896819503932,20260826,long_low_short-rep07,7,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep07__t-sustain__d-cc056__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep07__t-sustain__d-cc056__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep08__t-sustain__d-cc056__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc056,56,56,,5380287683912322282,20260826,long_low_short-rep08,8,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep08__t-sustain__d-cc056__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep08__t-sustain__d-cc056__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep01__t-sustain__d-cc064__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc064,64,64,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep01__t-sustain__d-cc064__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-sustain__d-cc064__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep02__t-sustain__d-cc064__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc064,64,64,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep02__t-sustain__d-cc064__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-sustain__d-cc064__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep03__t-sustain__d-cc064__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc064,64,64,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep03__t-sustain__d-cc064__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-cc064__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep04__t-sustain__d-cc064__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc064,64,64,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep04__t-sustain__d-cc064__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-cc064__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep05__t-sustain__d-cc064__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc064,64,64,,3792011369038416571,20260826,long_low_short-rep05,5,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep05__t-sustain__d-cc064__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep05__t-sustain__d-cc064__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep06__t-sustain__d-cc064__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc064,64,64,,8000593431006145158,20260826,long_low_short-rep06,6,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep06__t-sustain__d-cc064__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep06__t-sustain__d-cc064__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep07__t-sustain__d-cc064__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc064,64,64,,3027752896819503932,20260826,long_low_short-rep07,7,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep07__t-sustain__d-cc064__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep07__t-sustain__d-cc064__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep08__t-sustain__d-cc064__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc064,64,64,,5380287683912322282,20260826,long_low_short-rep08,8,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep08__t-sustain__d-cc064__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep08__t-sustain__d-cc064__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep01__t-sustain__d-cc072__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc072,72,72,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep01__t-sustain__d-cc072__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-sustain__d-cc072__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep02__t-sustain__d-cc072__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc072,72,72,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep02__t-sustain__d-cc072__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-sustain__d-cc072__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep03__t-sustain__d-cc072__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc072,72,72,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep03__t-sustain__d-cc072__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-cc072__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep04__t-sustain__d-cc072__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc072,72,72,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep04__t-sustain__d-cc072__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-cc072__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep05__t-sustain__d-cc072__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc072,72,72,,3792011369038416571,20260826,long_low_short-rep05,5,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep05__t-sustain__d-cc072__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep05__t-sustain__d-cc072__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep06__t-sustain__d-cc072__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc072,72,72,,8000593431006145158,20260826,long_low_short-rep06,6,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep06__t-sustain__d-cc072__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep06__t-sustain__d-cc072__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep07__t-sustain__d-cc072__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc072,72,72,,3027752896819503932,20260826,long_low_short-rep07,7,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep07__t-sustain__d-cc072__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep07__t-sustain__d-cc072__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep08__t-sustain__d-cc072__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc072,72,72,,5380287683912322282,20260826,long_low_short-rep08,8,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep08__t-sustain__d-cc072__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep08__t-sustain__d-cc072__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep01__t-sustain__d-cc088__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc088,88,88,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep01__t-sustain__d-cc088__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-sustain__d-cc088__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep02__t-sustain__d-cc088__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc088,88,88,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep02__t-sustain__d-cc088__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-sustain__d-cc088__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep03__t-sustain__d-cc088__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc088,88,88,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep03__t-sustain__d-cc088__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-cc088__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep04__t-sustain__d-cc088__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc088,88,88,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep04__t-sustain__d-cc088__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-cc088__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep05__t-sustain__d-cc088__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc088,88,88,,3792011369038416571,20260826,long_low_short-rep05,5,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep05__t-sustain__d-cc088__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep05__t-sustain__d-cc088__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep06__t-sustain__d-cc088__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc088,88,88,,8000593431006145158,20260826,long_low_short-rep06,6,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep06__t-sustain__d-cc088__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep06__t-sustain__d-cc088__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep07__t-sustain__d-cc088__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc088,88,88,,3027752896819503932,20260826,long_low_short-rep07,7,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep07__t-sustain__d-cc088__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep07__t-sustain__d-cc088__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep08__t-sustain__d-cc088__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc088,88,88,,5380287683912322282,20260826,long_low_short-rep08,8,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep08__t-sustain__d-cc088__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep08__t-sustain__d-cc088__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep01__t-sustain__d-cc104__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc104,104,104,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep01__t-sustain__d-cc104__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-sustain__d-cc104__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep02__t-sustain__d-cc104__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc104,104,104,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep02__t-sustain__d-cc104__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-sustain__d-cc104__s-dense__w-wt10_wc10.wav,planned
long_low_short-rep03__t-sustain__d-cc104__s-dense__w-wt10_wc10,model,VIOLET,sweep_dense,dense,long_low_short,long,low,short,sustain,36,cc104,104,104,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,1.0,57.0,True,0.75,data/midi/sweep/dense/long_low_short-rep03__t-sustain__d-cc104__s-dense__w-wt10_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-cc104__s-dense__w-wt10_wc10.wav,planned
