clip_id,source,model,profile,prompt_id,pattern,register,technique,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,violin_id,performer_id,take,replicate,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,raw_audio_path,status,recording_order
r__long_short_low__t-sustain__d-f__p-constant__v-V1__take01,real,real_violin,constant,long_short_low,long_short,low,sustain,36,f,96,96,,V1,P1,1,1,57.0,True,0.75,data/midi/expanded/reference/ref__long_short_low__t-sustain__d-f__p-constant.mid,data/real_48k/r__long_short_low__t-sustain__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__long_short_low__t-sustain__d-f__p-constant__v-V1__take01.wav,planned,18
r__repeat_mid__t-staccato__d-mf__p-constant__v-V1__take01,real,real_violin,constant,repeat_mid,repeat,mid,staccato,40,mf,64,64,,V1,P1,1,1,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-staccato__d-mf__p-constant.mid,data/real_48k/r__repeat_mid__t-staccato__d-mf__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_mid__t-staccato__d-mf__p-constant__v-V1__take01.wav,planned,19
r__leap_mid__t-sustain__d-p__p-constant__v-V1__take02,real,real_violin,constant,leap_mid,leap,mid,sustain,36,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_mid__t-sustain__d-p__p-constant.mid,data/real_48k/r__leap_mid__t-sustain__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__leap_mid__t-sustain__d-p__p-constant__v-V1__take02.wav,planned,20
r__leap_mid__t-sustain__d-f__p-constant__v-V2__take02,real,real_violin,constant,leap_mid,leap,mid,sustain,36,f,96,96,,V2,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_mid__t-sustain__d-f__p-constant.mid,data/real_48k/r__leap_mid__t-sustain__d-f__p-constant__v-V2__take02.wav,data/real_raw/r__leap_mid__t-sustain__d-f__p-constant__v-V2__take02.wav,planned,21
r__repeat_mid__t-pizzicato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,repeat_mid,repeat,mid,pizzicato,43,mf,64,64,,V1,P1,2,2,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__repeat_mid__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__repeat_mid__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,planned,22
r__repeat_low__t-pizzicato__d-p__p-constant__v-V1__take02,real,real_violin,constant,repeat_low,repeat,low,pizzicato,43,p,32,32,,V1,P1,2,2,62.0,True,0.75,data/midi/expanded/reference/ref__repeat_low__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__repeat_low__t-pizzicato__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__repeat_low__t-pizzicato__d-p__p-constant__v-V1__take02.wav,planned,23
r__repeat_slow_mid__t-staccato__d-f__p-constant__v-V1__take01,real,real_violin,constant,repeat_slow_mid,repeat_slow,mid,staccato,40,f,96,96,,V1,P1,1,1,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_slow_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__repeat_slow_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_slow_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,planned,24
r__long_short_high__t-pizzicato__d-p__p-constant__v-V1__take02,real,real_violin,constant,long_short_high,long_short,high,pizzicato,43,p,32,32,,V1,P1,2,2,81.0,True,0.75,data/midi/expanded/reference/ref__long_short_high__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__long_short_high__t-pizzicato__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__long_short_high__t-pizzicato__d-p__p-constant__v-V1__take02.wav,planned,25
r__repeat_high__t-legato_slur__d-p__p-constant__v-V2__take01,real,real_violin,constant,repeat_high,repeat,high,legato_slur,49,p,32,32,,V2,P1,1,1,86.0,True,0.75,data/midi/expanded/reference/ref__repeat_high__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__repeat_high__t-legato_slur__d-p__p-constant__v-V2__take01.wav,data/real_raw/r__repeat_high__t-legato_slur__d-p__p-constant__v-V2__take01.wav,planned,26
r__scale_low__t-sustain__d-mf__p-constant__v-V1__take02,real,real_violin,constant,scale_low,scale,low,sustain,36,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_low__t-sustain__d-mf__p-constant.mid,data/real_48k/r__scale_low__t-sustain__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__scale_low__t-sustain__d-mf__p-constant__v-V1__take02.wav,planned,27
r__arpeggio_mid__t-sustain__d-mf__p-constant__v-V1__take02,real,real_violin,constant,arpeggio_mid,arpeggio,mid,sustain,36,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__arpeggio_mid__t-sustain__d-mf__p-constant.mid,data/real_48k/r__arpeggio_mid__t-sustain__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__arpeggio_mid__t-sustain__d-mf__p-constant__v-V1__take02.wav,planned,28
r__long_short_low__t-sustain__d-p__p-constant__v-V1__take01,real,real_violin,constant,long_short_low,long_short,low,sustain,36,p,32,32,,V1,P1,1,1,57.0,True,0.75,data/midi/expanded/reference/ref__long_short_low__t-sustain__d-p__p-constant.mid,data/real_48k/r__long_short_low__t-sustain__d-p__p-constant__v-V1__take01.wav,data/real_raw/r__long_short_low__t-sustain__d-p__p-constant__v-V1__take01.wav,planned,29
r__repeat_slow_low__t-legato_slur__d-f__p-constant__v-V1__take01,real,real_violin,constant,repeat_slow_low,repeat_slow,low,legato_slur,49,f,96,96,,V1,P1,1,1,62.0,True,0.75,data/midi/expanded/reference/ref__repeat_slow_low__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__repeat_slow_low__t-legato_slur__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_slow_low__t-legato_slur__d-f__p-constant__v-V1__take01.wav,planned,30
r__long_low__t-pizzicato__d-mf__p-constant__v-V3__take01,real,real_violin,constant,long_low,long,low,pizzicato,43,mf,64,64,,V3,P1,1,1,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__long_low__t-pizzicato__d-mf__p-constant__v-V3__take01.wav,data/real_raw/r__long_low__t-pizzicato__d-mf__p-constant__v-V3__take01.wav,planned,31
r__repeat_high__t-sustain__d-mf__p-constant__v-V2__take02,real,real_violin,constant,repeat_high,repeat,high,sustain,36,mf,64,64,,V2,P1,2,2,86.0,True,0.75,data/midi/expanded/reference/ref__repeat_high__t-sustain__d-mf__p-constant.mid,data/real_48k/r__repeat_high__t-sustain__d-mf__p-constant__v-V2__take02.wav,data/real_raw/r__repeat_high__t-sustain__d-mf__p-constant__v-V2__take02.wav,planned,32
r__scale_mid__t-pizzicato__d-p__p-constant__v-V2__take01,real,real_violin,constant,scale_mid,scale,mid,pizzicato,43,p,32,32,,V2,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_mid__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__scale_mid__t-pizzicato__d-p__p-constant__v-V2__take01.wav,data/real_raw/r__scale_mid__t-pizzicato__d-p__p-constant__v-V2__take01.wav,planned,33
r__arpeggio_low__t-legato_slur__d-f__p-constant__v-V1__take02,real,real_violin,constant,arpeggio_low,arpeggio,low,legato_slur,49,f,96,96,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__arpeggio_low__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__arpeggio_low__t-legato_slur__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__arpeggio_low__t-legato_slur__d-f__p-constant__v-V1__take02.wav,planned,34
r__long_high__t-legato_slur__d-p__p-constant__v-V3__take02,real,real_violin,constant,long_high,long,high,legato_slur,49,p,32,32,,V3,P1,2,2,81.0,True,0.75,data/midi/expanded/reference/ref__long_high__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__long_high__t-legato_slur__d-p__p-constant__v-V3__take02.wav,data/real_raw/r__long_high__t-legato_slur__d-p__p-constant__v-V3__take02.wav,planned,35
r__repeat_high__t-legato_slur__d-f__p-constant__v-V1__take01,real,real_violin,constant,repeat_high,repeat,high,legato_slur,49,f,96,96,,V1,P1,1,1,86.0,True,0.75,data/midi/expanded/reference/ref__repeat_high__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__repeat_high__t-legato_slur__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_high__t-legato_slur__d-f__p-constant__v-V1__take01.wav,planned,36
r__leap_high__t-sustain__d-f__p-constant__v-V3__take01,real,real_violin,constant,leap_high,leap,high,sustain,36,f,96,96,,V3,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_high__t-sustain__d-f__p-constant.mid,data/real_48k/r__leap_high__t-sustain__d-f__p-constant__v-V3__take01.wav,data/real_raw/r__leap_high__t-sustain__d-f__p-constant__v-V3__take01.wav,planned,37
r__long_mid__t-staccato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,long_mid,long,mid,staccato,40,mf,64,64,,V1,P1,2,2,69.0,True,0.75,data/midi/expanded/reference/ref__long_mid__t-staccato__d-mf__p-constant.mid,data/real_48k/r__long_mid__t-staccato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__long_mid__t-staccato__d-mf__p-constant__v-V1__take02.wav,planned,38
r__scale_low__t-staccato__d-mf__p-constant__v-V3__take01,real,real_violin,constant,scale_low,scale,low,staccato,40,mf,64,64,,V3,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_low__t-staccato__d-mf__p-constant.mid,data/real_48k/r__scale_low__t-staccato__d-mf__p-constant__v-V3__take01.wav,data/real_raw/r__scale_low__t-staccato__d-mf__p-constant__v-V3__take01.wav,planned,39
r__long_high__t-legato_slur__d-f__p-constant__v-V1__take01,real,real_violin,constant,long_high,long,high,legato_slur,49,f,96,96,,V1,P1,1,1,81.0,True,0.75,data/midi/expanded/reference/ref__long_high__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__long_high__t-legato_slur__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__long_high__t-legato_slur__d-f__p-constant__v-V1__take01.wav,planned,40
r__arpeggio_mid__t-staccato__d-f__p-constant__v-V1__take01,real,real_violin,constant,arpeggio_mid,arpeggio,mid,staccato,40,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__arpeggio_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__arpeggio_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__arpeggio_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,planned,41
r__leap_high__t-legato_slur__d-f__p-constant__v-V2__take01,real,real_violin,constant,leap_high,leap,high,legato_slur,49,f,96,96,,V2,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_high__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__leap_high__t-legato_slur__d-f__p-constant__v-V2__take01.wav,data/real_raw/r__leap_high__t-legato_slur__d-f__p-constant__v-V2__take01.wav,planned,42
r__long_mid__t-staccato__d-mf__p-constant__v-V3__take01,real,real_violin,constant,long_mid,long,mid,staccato,40,mf,64,64,,V3,P1,1,1,69.0,True,0.75,data/midi/expanded/reference/ref__long_mid__t-staccato__d-mf__p-constant.mid,data/real_48k/r__long_mid__t-staccato__d-mf__p-constant__v-V3__take01.wav,data/real_raw/r__long_mid__t-staccato__d-mf__p-constant__v-V3__take01.wav,planned,43
r__leap_mid__t-sustain__d-p__p-constant__v-V3__take01,real,real_violin,constant,leap_mid,leap,mid,sustain,36,p,32,32,,V3,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_mid__t-sustain__d-p__p-constant.mid,data/real_48k/r__leap_mid__t-sustain__d-p__p-constant__v-V3__take01.wav,data/real_raw/r__leap_mid__t-sustain__d-p__p-constant__v-V3__take01.wav,planned,44
r__repeat_low__t-sustain__d-mf__p-constant__v-V1__take01,real,real_violin,constant,repeat_low,repeat,low,sustain,36,mf,64,64,,V1,P1,1,1,62.0,True,0.75,data/midi/expanded/reference/ref__repeat_low__t-sustain__d-mf__p-constant.mid,data/real_48k/r__repeat_low__t-sustain__d-mf__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_low__t-sustain__d-mf__p-constant__v-V1__take01.wav,planned,45
r__leap_high__t-pizzicato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,leap_high,leap,high,pizzicato,43,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_high__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__leap_high__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__leap_high__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,planned,46
r__leap_mid__t-pizzicato__d-f__p-constant__v-V1__take01,real,real_violin,constant,leap_mid,leap,mid,pizzicato,43,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_mid__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__leap_mid__t-pizzicato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__leap_mid__t-pizzicato__d-f__p-constant__v-V1__take01.wav,planned,47
r__leap_low__t-pizzicato__d-mf__p-constant__v-V3__take02,real,real_violin,constant,leap_low,leap,low,pizzicato,43,mf,64,64,,V3,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_low__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__leap_low__t-pizzicato__d-mf__p-constant__v-V3__take02.wav,data/real_raw/r__leap_low__t-pizzicato__d-mf__p-constant__v-V3__take02.wav,planned,48
r__scale_low__t-sustain__d-mf__p-constant__v-V1__take01,real,real_violin,constant,scale_low,scale,low,sustain,36,mf,64,64,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_low__t-sustain__d-mf__p-constant.mid,data/real_48k/r__scale_low__t-sustain__d-mf__p-constant__v-V1__take01.wav,data/real_raw/r__scale_low__t-sustain__d-mf__p-constant__v-V1__take01.wav,planned,49
r__scale_high__t-pizzicato__d-p__p-constant__v-V3__take02,real,real_violin,constant,scale_high,scale,high,pizzicato,43,p,32,32,,V3,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_high__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__scale_high__t-pizzicato__d-p__p-constant__v-V3__take02.wav,data/real_raw/r__scale_high__t-pizzicato__d-p__p-constant__v-V3__take02.wav,planned,50
r__long_high__t-staccato__d-f__p-constant__v-V1__take01,real,real_violin,constant,long_high,long,high,staccato,40,f,96,96,,V1,P1,1,1,81.0,True,0.75,data/midi/expanded/reference/ref__long_high__t-staccato__d-f__p-constant.mid,data/real_48k/r__long_high__t-staccato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__long_high__t-staccato__d-f__p-constant__v-V1__take01.wav,planned,51
r__repeat_low__t-sustain__d-f__p-constant__v-V3__take01,real,real_violin,constant,repeat_low,repeat,low,sustain,36,f,96,96,,V3,P1,1,1,62.0,True,0.75,data/midi/expanded/reference/ref__repeat_low__t-sustain__d-f__p-constant.mid,data/real_48k/r__repeat_low__t-sustain__d-f__p-constant__v-V3__take01.wav,data/real_raw/r__repeat_low__t-sustain__d-f__p-constant__v-V3__take01.wav,planned,52
r__long_short_low__t-sustain__d-f__p-constant__v-V1__take02,real,real_violin,constant,long_short_low,long_short,low,sustain,36,f,96,96,,V1,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_short_low__t-sustain__d-f__p-constant.mid,data/real_48k/r__long_short_low__t-sustain__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__long_short_low__t-sustain__d-f__p-constant__v-V1__take02.wav,planned,53
r__scale_mid__t-legato_slur__d-p__p-constant__v-V3__take01,real,real_violin,constant,scale_mid,scale,mid,legato_slur,49,p,32,32,,V3,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_mid__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__scale_mid__t-legato_slur__d-p__p-constant__v-V3__take01.wav,data/real_raw/r__scale_mid__t-legato_slur__d-p__p-constant__v-V3__take01.wav,planned,54
r__scale_mid__t-staccato__d-f__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,staccato,40,f,96,96,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__scale_mid__t-staccato__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-staccato__d-f__p-constant__v-V1__take02.wav,planned,55
r__scale_low__t-legato_slur__d-f__p-constant__v-V3__take02,real,real_violin,constant,scale_low,scale,low,legato_slur,49,f,96,96,,V3,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_low__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__scale_low__t-legato_slur__d-f__p-constant__v-V3__take02.wav,data/real_raw/r__scale_low__t-legato_slur__d-f__p-constant__v-V3__take02.wav,planned,56
r__descend_mid__t-staccato__d-f__p-constant__v-V1__take02,real,real_violin,constant,descend_mid,descend,mid,staccato,40,f,96,96,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__descend_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__descend_mid__t-staccato__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__descend_mid__t-staccato__d-f__p-constant__v-V1__take02.wav,planned,57
r__arpeggio_mid__t-legato_slur__d-f__p-constant__v-V1__take01,real,real_violin,constant,arpeggio_mid,arpeggio,mid,legato_slur,49,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__arpeggio_mid__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__arpeggio_mid__t-legato_slur__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__arpeggio_mid__t-legato_slur__d-f__p-constant__v-V1__take01.wav,planned,58
r__long_low__t-staccato__d-mf__p-constant__v-V2__take02,real,real_violin,constant,long_low,long,low,staccato,40,mf,64,64,,V2,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-staccato__d-mf__p-constant.mid,data/real_48k/r__long_low__t-staccato__d-mf__p-constant__v-V2__take02.wav,data/real_raw/r__long_low__t-staccato__d-mf__p-constant__v-V2__take02.wav,planned,59
r__descend_high__t-legato_slur__d-mf__p-constant__v-V1__take02,real,real_violin,constant,descend_high,descend,high,legato_slur,49,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__descend_high__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__descend_high__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__descend_high__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,planned,60
r__repeat_mid__t-staccato__d-mf__p-constant__v-V2__take01,real,real_violin,constant,repeat_mid,repeat,mid,staccato,40,mf,64,64,,V2,P1,1,1,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-staccato__d-mf__p-constant.mid,data/real_48k/r__repeat_mid__t-staccato__d-mf__p-constant__v-V2__take01.wav,data/real_raw/r__repeat_mid__t-staccato__d-mf__p-constant__v-V2__take01.wav,planned,61
r__arpeggio_high__t-pizzicato__d-f__p-constant__v-V1__take01,real,real_violin,constant,arpeggio_high,arpeggio,high,pizzicato,43,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__arpeggio_high__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__arpeggio_high__t-pizzicato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__arpeggio_high__t-pizzicato__d-f__p-constant__v-V1__take01.wav,planned,62
r__long_mid__t-sustain__d-p__p-constant__v-V3__take01,real,real_violin,constant,long_mid,long,mid,sustain,36,p,32,32,,V3,P1,1,1,69.0,True,0.75,data/midi/expanded/reference/ref__long_mid__t-sustain__d-p__p-constant.mid,data/real_48k/r__long_mid__t-sustain__d-p__p-constant__v-V3__take01.wav,data/real_raw/r__long_mid__t-sustain__d-p__p-constant__v-V3__take01.wav,planned,63
