clip_id,source,model,profile,prompt_id,pattern,register,technique,analysis_tier,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,violin_id,performer_id,take,replicate,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,raw_audio_path,status,recording_order
r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V3__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,V3,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V3__take03.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V3__take03.wav,planned,11
r__delayed_A4__t-sustain__d-p__p-delayed__v-V2__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,V2,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-p__p-delayed__v-V2__take02.wav,data/real_raw/r__delayed_A4__t-sustain__d-p__p-delayed__v-V2__take02.wav,planned,12
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V1__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V1,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V1__take01.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V1__take01.wav,planned,13
r__delayed_A4__t-sustain__d-p__p-delayed__v-V3__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,V3,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-p__p-delayed__v-V3__take02.wav,data/real_raw/r__delayed_A4__t-sustain__d-p__p-delayed__v-V3__take02.wav,planned,14
r__delayed_A4__t-sustain__d-p__p-delayed__v-V2__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,V2,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-p__p-delayed__v-V2__take03.wav,data/real_raw/r__delayed_A4__t-sustain__d-p__p-delayed__v-V2__take03.wav,planned,15
r__delayed_A4__t-sustain__d-mf__p-delayed__v-V1__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,V1,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V1__take01.wav,data/real_raw/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V1__take01.wav,planned,16
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V1,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take01.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take01.wav,planned,17
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V3,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take03.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take03.wav,planned,18
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V1__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V1,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V1__take04.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V1__take04.wav,planned,19
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V2__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V2,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V2__take03.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V2__take03.wav,planned,20
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V1,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take03.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take03.wav,planned,21
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V2__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V2,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V2__take04.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V2__take04.wav,planned,22
r__delayed_A4__t-sustain__d-p__p-delayed__v-V1__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,V1,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-p__p-delayed__v-V1__take01.wav,data/real_raw/r__delayed_A4__t-sustain__d-p__p-delayed__v-V1__take01.wav,planned,23
r__delayed_A4__t-sustain__d-f__p-delayed__v-V1__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V1,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V1__take04.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V1__take04.wav,planned,24
r__delayed_A4__t-sustain__d-mf__p-delayed__v-V2__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,V2,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V2__take03.wav,data/real_raw/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V2__take03.wav,planned,25
r__delayed_A4__t-sustain__d-f__p-delayed__v-V1__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V1,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V1__take01.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V1__take01.wav,planned,26
r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V2__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,V2,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V2__take04.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V2__take04.wav,planned,27
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V2__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V2,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V2__take02.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V2__take02.wav,planned,28
r__delayed_A4__t-sustain__d-mf__p-delayed__v-V3__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,V3,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V3__take03.wav,data/real_raw/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V3__take03.wav,planned,29
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V3,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take01.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take01.wav,planned,30
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V2__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V2,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V2__take01.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V2__take01.wav,planned,31
r__delayed_A4__t-sustain__d-mf__p-delayed__v-V2__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,V2,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V2__take01.wav,data/real_raw/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V2__take01.wav,planned,32
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V3,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take04.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take04.wav,planned,33
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V1__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V1,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V1__take03.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V1__take03.wav,planned,34
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V2__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V2,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V2__take04.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V2__take04.wav,planned,35
r__delayed_A4__t-sustain__d-p__p-delayed__v-V1__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,V1,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-p__p-delayed__v-V1__take03.wav,data/real_raw/r__delayed_A4__t-sustain__d-p__p-delayed__v-V1__take03.wav,planned,36
r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,V1,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take02.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take02.wav,planned,37
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V3__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V3,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V3__take01.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V3__take01.wav,planned,38
r__delayed_A4__t-sustain__d-f__p-delayed__v-V3__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V3,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V3__take04.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V3__take04.wav,planned,39
r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V2,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take02.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take02.wav,planned,40
r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V2,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take01.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take01.wav,planned,41
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V1,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take02.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take02.wav,planned,42
r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,V3,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take02.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-p__p-delayed__v-V3__take02.wav,planned,43
r__delayed_A4__t-sustain__d-f__p-delayed__v-V3__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V3,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V3__take03.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V3__take03.wav,planned,44
r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V2,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take03.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take03.wav,planned,45
r__delayed_A4__t-sustain__d-f__p-delayed__v-V3__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V3,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V3__take01.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V3__take01.wav,planned,46
r__delayed_A4__t-sustain__d-mf__p-delayed__v-V1__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,V1,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V1__take03.wav,data/real_raw/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V1__take03.wav,planned,47
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V2__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V2,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V2__take02.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V2__take02.wav,planned,48
r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V2__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,V2,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V2__take03.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V2__take03.wav,planned,49
r__delayed_A4__t-sustain__d-mf__p-delayed__v-V1__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,V1,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V1__take04.wav,data/real_raw/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V1__take04.wav,planned,50
r__delayed_A4__t-sustain__d-mf__p-delayed__v-V3__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,V3,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V3__take04.wav,data/real_raw/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V3__take04.wav,planned,51
r__delayed_A4__t-sustain__d-f__p-delayed__v-V1__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V1,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V1__take03.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V1__take03.wav,planned,52
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V3__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V3,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V3__take04.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V3__take04.wav,planned,53
r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,V1,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take03.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take03.wav,planned,54
r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V2__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,V2,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V2__take02.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V2__take02.wav,planned,55
r__delayed_A4__t-sustain__d-p__p-delayed__v-V2__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,V2,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-p__p-delayed__v-V2__take01.wav,data/real_raw/r__delayed_A4__t-sustain__d-p__p-delayed__v-V2__take01.wav,planned,56
